Date,Open,High,Low,Close
03/13/2024,"390.55","392.02","389.38","390.43"
03/12/2024,"388.83","390.72","387.11","390.05"
03/11/2024,"386.67","387.95","384.83","387.70"
03/08/2024,"387.77","389.71","387.05","387.23"
03/07/2024,"387.84","389.10","387.30","387.91"
03/06/2024,"387.21","388.58","385.71","386.61"
03/05/2024,"389.07","389.07","384.58","385.85"
03/04/2024,"389.69","390.88","389.13","389.90"
03/01/2024,"389.90","391.20","388.51","390.87"
02/29/2024,"390.14","390.74","388.09","389.96"
02/28/2024,"389.38","389.56","387.42","389.49"
02/27/2024,"390.88","390.88","388.82","389.72"
02/26/2024,"391.45","392.46","390.26","390.69"
02/23/2024,"391.28","392.82","390.94","391.32"
02/22/2024,"388.45","391.50","388.02","390.69"
02/21/2024,"384.84","386.18","383.39","386.12"
02/20/2024,"385.76","386.63","384.60","385.64"
02/16/2024,"387.52","388.25","385.83","386.28"
02/15/2024,"383.98","387.82","383.98","387.73"
02/14/2024,"383.73","384.43","381.95","384.24"
02/13/2024,"386.99","386.99","380.40","382.73"
02/12/2024,"386.57","389.27","386.29","387.97"
02/09/2024,"387.32","387.34","385.68","386.72"
02/08/2024,"387.02","387.56","385.44","387.26"
02/07/2024,"386.14","387.48","385.71","386.77"
02/06/2024,"383.93","385.45","383.50","385.21"
02/05/2024,"385.47","386.34","382.20","383.80"
02/02/2024,"384.48","387.84","383.37","386.54"
02/01/2024,"381.75","385.23","381.07","385.20"
01/31/2024,"384.27","385.89","381.40","381.50"
01/30/2024,"382.98","384.97","382.58","384.67"
01/29/2024,"381.16","383.44","380.61","383.33"
01/26/2024,"380.07","382.15","379.98","381.09"
01/25/2024,"378.63","380.58","377.96","380.49"
01/24/2024,"379.75","380.64","377.96","378.06"
01/23/2024,"379.60","379.81","378.05","379.05"
01/22/2024,"379.20","381.09","379.12","380.02"
01/19/2024,"375.73","379.34","374.52","378.64"
01/18/2024,"373.01","375.22","371.23","374.69"
01/17/2024,"372.82","373.72","371.33","372.67"
01/16/2024,"374.94","375.43","372.01","373.61"
01/15/2024,"378.18","378.25","374.70","375.93"
01/12/2024,"378.18","378.25","374.70","375.93"
01/11/2024,"377.47","378.02","374.24","377.11"
01/10/2024,"375.53","377.41","375.24","376.96"
01/09/2024,"375.24","375.52","373.73","375.25"
01/08/2024,"373.27","376.93","372.49","376.83"
01/05/2024,"374.55","376.24","373.24","374.66"
01/04/2024,"374.25","377.16","374.25","374.40"
01/03/2024,"376.29","376.29","374.02","374.30"
01/02/2024,"375.66","377.90","374.96","377.15"
12/29/2023,"377.02","377.59","375.39","376.90"
12/28/2023,"376.62","377.79","376.51","377.10"
12/27/2023,"375.19","376.84","374.89","376.57"
12/26/2023,"374.06","376.18","373.72","375.45"
12/22/2023,"373.49","375.35","372.69","373.86"
12/21/2023,"372.25","374.19","371.27","374.04"
12/20/2023,"375.20","376.41","370.73","370.82"
12/19/2023,"373.12","375.63","373.12","375.58"
12/18/2023,"373.30","373.93","372.85","373.06"
12/15/2023,"371.95","373.48","370.92","373.05"
12/14/2023,"371.16","372.88","370.52","372.48"
